voting_ID	date	time	title
1419336800	 23.12.2014	12:13:20	Поіменне голосування  про проект Закону про внесення змін до деяких законів України щодо відмови України від здійснення політики позаблоковості (№1014-3) - за основу та в цілому
1419342787	 23.12.2014	13:53:07	Поіменне голосування  про продовження ранкового пленарного засідання  до завершення розгляду питань порядку денного
1419349220	 23.12.2014	15:40:20	Поіменне голосування  про проект Постанови про особливості процедури розгляду і прийняття проекту Закону України про Державний бюджет України на 2015 рік (№1000-П) - за основу та в цілому
1419349338	 23.12.2014	15:42:18	Поіменне голосування  про проект Постанови про особливості процедури розгляду законопроектів, що пов'язані з прийняттям проекту Закону України про Державний бюджет України на 2015 рік (№1000-П1) - за основу та в цілому
1419349426	 23.12.2014	15:43:46	Поіменне голосування  про включення до порядку денного сесії  проектів законів №1570, №1571, №1572
1419349951	 23.12.2014	15:52:31	"Поіменне голосування  про  включення до порядку денного сесії проекту Закону про внесення зміни до статті 46 Закону України ""Про прокуратуру"" (щодо умов для залучення фахівців) (№1530) "
1419350000	 23.12.2014	15:53:20	Поіменне голосування  про включення до порядку денного сесії проекту Постанови про звернення Верховної Ради України до міжнародних організацій та міжпарламентських асамблей щодо звільнення української льотчиці та народного депутата України VIII скликання Надії Вікторівни Савченко (№1584)
1419350045	 23.12.2014	15:54:05	"Поіменне голосування про включення до порядку денного сесії проекту Закону про внесення зміни до статті 46 Закону України ""Про прокуратуру"" (щодо умов для залучення фахівців) (№1530) "
1419350701	 23.12.2014	16:05:01	Поіменне голосування  про проект Постанови про присудження щорічної Премії Верховної Ради України педагогічним працівникам загальноосвітніх, професійно-технічних, дошкільних та позашкільних навчальних закладів (№1339) - за основу та в цілому
1419350732	 23.12.2014	16:05:32	Поіменне голосування  про проект Постанови про призначення у 2014 році іменних стипендій Верховної Ради України для найталановитіших молодих вчених (№1341) - за основу та в цілому
1419350758	 23.12.2014	16:05:58	Поіменне голосування  про проект Постанови про присудження Премії Верховної Ради України найталановитішим молодим ученим в галузі фундаментальних і прикладних досліджень та науково-технічних розробок за 2013 рік (№1342) - за основу та в цілому
1419350962	 23.12.2014	16:09:22	Поіменне голосування  про проект Постанови про присудження у 2014 році Премії Верховної Ради України за внесок молоді у розвиток парламентаризму, місцевого самоврядування (№1323) - за основу та в цілому
1419351224	 23.12.2014	16:13:44	Поіменне голосування  про роботу 28 грудня 2014 року в пленарному режимі
1419351257	 23.12.2014	16:14:17	Поіменне голосування  про роботу 28 грудня 2014 року в пленарному режимі
1419351301	 23.12.2014	16:15:01	Поіменне голосування  про проект Постанови про внесення змін до календарного плану проведення першої сесії Верховної Ради України восьмого скликання (№1582) - за основу та в цілому
